time,open,high,low,close,volume,spread,real_volume
2012-11-05 00:00:00+00:00,1.28198,1.28418,1.2766899999999999,1.2796699999999999,55087,4,0
2012-11-06 00:00:00+00:00,1.27965,1.2826,1.2763200000000001,1.2809,58710,4,0
2012-11-07 00:00:00+00:00,1.28091,1.28757,1.27358,1.27705,75756,6,0
2012-11-08 00:00:00+00:00,1.27705,1.2775400000000001,1.2717100000000001,1.27435,63599,7,0
2012-11-09 00:00:00+00:00,1.27438,1.27895,1.26895,1.27106,63401,5,0
2012-11-12 00:00:00+00:00,1.27154,1.27385,1.2697,1.27069,47907,4,0
2012-11-13 00:00:00+00:00,1.27069,1.27261,1.26612,1.27017,61567,4,0
2012-11-14 00:00:00+00:00,1.2701799999999999,1.27758,1.2701500000000001,1.27324,64072,6,0
2012-11-15 00:00:00+00:00,1.27326,1.2801,1.27169,1.27801,59959,5,0
2012-11-16 00:00:00+00:00,1.27801,1.27837,1.26905,1.2741799999999999,58031,6,0
2012-11-19 00:00:00+00:00,1.27411,1.2818800000000001,1.27396,1.27808,56293,5,0
2012-11-20 00:00:00+00:00,1.27806,1.2827600000000001,1.27646,1.28134,58819,5,0
2012-11-21 00:00:00+00:00,1.28134,1.28324,1.27359,1.28268,60952,4,0
2012-11-22 00:00:00+00:00,1.28269,1.28983,1.28269,1.288,52556,5,0
2012-11-23 00:00:00+00:00,1.28799,1.2989600000000001,1.28677,1.29729,51348,6,0
2012-11-26 00:00:00+00:00,1.29731,1.30053,1.2943500000000001,1.29934,53834,4,0
2012-11-27 00:00:00+00:00,1.29931,1.30077,1.2915,1.29369,61254,4,0
2012-11-28 00:00:00+00:00,1.29369,1.29606,1.28796,1.29496,59525,4,0
2012-11-29 00:00:00+00:00,1.2949899999999999,1.30125,1.29385,1.29765,53842,4,0
2012-11-30 00:00:00+00:00,1.29763,1.30267,1.29679,1.29848,58301,3,0
2012-12-03 00:00:00+00:00,1.29934,1.30751,1.29882,1.30587,53932,4,0
2012-12-04 00:00:00+00:00,1.30584,1.31073,1.30453,1.30935,55870,4,0
2012-12-05 00:00:00+00:00,1.30934,1.31253,1.30596,1.30701,54075,4,0
2012-12-06 00:00:00+00:00,1.30702,1.30857,1.295,1.29571,57791,4,0
2012-12-07 00:00:00+00:00,1.29573,1.29718,1.28769,1.29261,53249,4,0
2012-12-10 00:00:00+00:00,1.28992,1.29458,1.2885499999999999,1.294,49425,4,0
2012-12-11 00:00:00+00:00,1.294,1.3014000000000001,1.29283,1.30078,51764,4,0
2012-12-12 00:00:00+00:00,1.3008,1.3096,1.29951,1.30698,52652,4,0
2012-12-13 00:00:00+00:00,1.307,1.30998,1.30405,1.30745,51960,4,0
2012-12-14 00:00:00+00:00,1.30748,1.31727,1.30657,1.31622,52693,4,0
2012-12-17 00:00:00+00:00,1.31821,1.31863,1.31437,1.31593,47536,4,0
2012-12-18 00:00:00+00:00,1.3159399999999999,1.32376,1.31558,1.3223500000000001,46294,4,0
2012-12-19 00:00:00+00:00,1.32237,1.33076,1.3188900000000001,1.31986,56575,3,0
2012-12-20 00:00:00+00:00,1.31988,1.32942,1.31988,1.32454,54315,4,0
2012-12-21 00:00:00+00:00,1.32461,1.32464,1.3157,1.31867,61536,4,0
2012-12-24 00:00:00+00:00,1.3179,1.3232599999999999,1.3170600000000001,1.3187,32298,4,0
2012-12-26 00:00:00+00:00,1.31867,1.32534,1.31826,1.32203,27835,4,0
2012-12-27 00:00:00+00:00,1.3220399999999999,1.32833,1.3201399999999999,1.32342,48243,3,0
2012-12-28 00:00:00+00:00,1.32344,1.32562,1.31654,1.32146,45173,4,0
2012-12-31 00:00:00+00:00,1.32157,1.32338,1.3171599999999999,1.31964,36556,4,0
2013-01-01 00:00:00+00:00,1.32036,1.32192,1.31977,1.32053,1377,4,0
2013-01-02 00:00:00+00:00,1.32049,1.32992,1.31567,1.31888,83431,4,0
2013-01-03 00:00:00+00:00,1.3188900000000001,1.3188900000000001,1.30246,1.30366,50519,4,0
2013-01-04 00:00:00+00:00,1.3036400000000001,1.30884,1.29975,1.30677,49254,5,0
2013-01-07 00:00:00+00:00,1.30779,1.31276,1.30165,1.3125200000000001,48815,4,0
2013-01-08 00:00:00+00:00,1.31253,1.31388,1.30569,1.30802,50086,4,0
2013-01-09 00:00:00+00:00,1.30804,1.30953,1.3036400000000001,1.3054000000000001,48758,5,0
2013-01-10 00:00:00+00:00,1.30538,1.32789,1.30383,1.32668,53915,5,0
2013-01-11 00:00:00+00:00,1.32669,1.33644,1.32481,1.33416,54809,3,0
2013-01-14 00:00:00+00:00,1.33621,1.3403100000000001,1.33357,1.33765,50048,4,0
2013-01-15 00:00:00+00:00,1.33762,1.3393,1.32664,1.32972,57596,5,0
2013-01-16 00:00:00+00:00,1.32972,1.33242,1.32564,1.32901,53389,4,0
2013-01-17 00:00:00+00:00,1.32905,1.33871,1.32696,1.33743,54847,5,0
2013-01-18 00:00:00+00:00,1.33741,1.33979,1.32798,1.33195,53787,4,0
2013-01-21 00:00:00+00:00,1.33107,1.33315,1.32991,1.3315299999999999,37620,4,0
