symbol,n_preds,n_folds,oos_r2,oos_r2_ar1,oos_r2_level,hit,hit_naive_mr,hit_ar1,hit_level,hit_vs_level_tstat,hit_top25pct_conviction,ic_spearman_mean,ic_tstat,hit_minus_naive_tstat
BTCUSD,4648,40,0.48632652168572965,0.14607568843519225,0.26246756642655034,0.7601118760757315,0.6159638554216867,0.6125215146299484,0.6716867469879518,11.681249757227706,0.927710843373494,0.7109549546938914,80.45916850238258,13.018961478562552
EURUSD,4648,40,0.5676140291421037,0.05528829512345235,0.29705990504747914,0.7917383820998278,0.5542168674698795,0.5529259896729777,0.669104991394148,11.7864793893854,0.9612736660929432,0.7714203513415155,77.99411452788694,16.86338711629148
XAUUSD,4648,40,0.4289683999644621,0.12079609229297805,0.2187848006835833,0.7669965576592083,0.5955249569707401,0.5963855421686747,0.6772805507745266,9.534695212797761,0.9122203098106713,0.6975462812988098,50.22211239377413,9.122763018659114
US500,4648,40,0.5648856240267126,0.02525369512597664,0.21498449155116295,0.8214285714285714,0.5146299483648882,0.5174268502581756,0.6617900172117039,19.14337882940866,0.9509466437177281,0.7998775160495117,56.487804399242414,21.517175401354578
GBPUSD,4648,40,0.6085124780750254,0.039964941835040624,0.308955439587403,0.7945352839931153,0.5473321858864028,0.5471170395869192,0.6740533562822719,13.987662084733213,0.9698795180722891,0.7845396390862394,78.45433547568784,17.804100448295266
