dummy,symbol,n_event,mean_on,mean_off,welch_t
dum_next_h04,BTCUSD,824,0.040533185931747026,-0.008667777644454984,1.149032285241131
dum_next_h08,BTCUSD,824,-0.6565233374044867,0.13142358216751002,-18.48235713839108
dum_next_h12,BTCUSD,824,-0.0938943731786952,0.01834888301578999,-3.2182636446110395
dum_next_h16,BTCUSD,826,0.20803698812028912,-0.04245414722349065,6.889780260393583
dum_next_h20,BTCUSD,826,1.0548129845259213,-0.21313178827547996,36.22890799932609
dum_next_mon,BTCUSD,823,0.13654499739405979,-0.027923695681496486,3.085337715236184
dum_next_tue,BTCUSD,978,0.024167144482472785,-0.006531680293554047,0.7956958096251643
dum_next_thu,BTCUSD,988,0.00852124987138045,-0.0026823013230258563,0.30520268155919217
dum_next_fri,BTCUSD,983,0.00874843292031205,-0.0027247532847431183,0.3012179868702602
dum_next_nfp,BTCUSD,38,0.44662998439362656,-0.003911273545121509,2.5522864377645935
dum_next_us_morning,BTCUSD,826,0.20803698812028912,-0.04245414722349065,6.889780260393583
dum_next_opex,BTCUSD,222,-0.02575478424318685,0.000761169495423563,-0.37605591833196444
dum_next_month_end,BTCUSD,321,0.0008076204477885836,-0.0005209188134360248,0.020830217910857207
dum_next_quarter_end,BTCUSD,89,0.05278355967622656,-0.0014139151904219334,0.40379689587755657
dum_next_holidays,BTCUSD,91,0.006574758110778761,-0.0005662830793682506,0.051329043391961565
dum_next_gap_open,BTCUSD,196,1.055616699801532,-0.04421307451260706,11.680055804685443
dum_next_h04,EURUSD,824,-0.3368373078003987,0.06719210198197154,-9.91111321864797
dum_next_h08,EURUSD,824,-0.1948543417638182,0.03865698880779048,-6.363035280611564
dum_next_h12,EURUSD,824,1.2267536365914227,-0.24705154147628722,46.74500305261207
dum_next_h16,EURUSD,826,0.20677210702686094,-0.04218157245135002,6.6886432289503555
dum_next_h20,EURUSD,826,0.18730671826772172,-0.03825809487325119,6.563502063240235
dum_next_mon,EURUSD,823,0.17699820430786145,-0.03602434665857479,5.051892017368678
dum_next_tue,EURUSD,978,0.04727667720634409,-0.012240981705334457,1.5483244350208583
dum_next_thu,EURUSD,988,0.027209617795386387,-0.007355037063843241,0.8250051818576487
dum_next_fri,EURUSD,983,-0.0015111332352653684,-0.0001473939434608952,-0.03185616445535471
dum_next_nfp,EURUSD,38,1.2653040446780865,-0.010263585181991924,5.877632295987696
dum_next_us_morning,EURUSD,826,0.20677210702686094,-0.04218157245135002,6.6886432289503555
dum_next_opex,EURUSD,222,-0.046752105240199404,0.00176789533430009,-0.6205354717572995
dum_next_month_end,EURUSD,321,0.017335816731280866,-0.0016578580647808828,0.2919744249642187
dum_next_quarter_end,EURUSD,89,0.06864833783983566,-0.0016910083907322893,0.6176889956124829
dum_next_holidays,EURUSD,91,0.029159664851327996,-0.0009765886618903566,0.2607527951394046
dum_next_gap_open,EURUSD,196,0.33367580598254565,-0.014269623831223393,4.545839282998232
dum_next_h04,XAUUSD,824,0.0715299204443072,-0.014596252434062698,2.1149216887397824
dum_next_h08,XAUUSD,824,-0.015029978366298656,0.0028001760098249227,-0.4637688874468892
dum_next_h12,XAUUSD,824,0.3436388569155764,-0.06928351186145924,12.460894466754898
dum_next_h16,XAUUSD,826,0.38138969746839657,-0.0770941607228998,12.78009045856306
dum_next_h20,XAUUSD,826,0.44931318533516734,-0.09078493694982825,15.55332006078944
dum_next_mon,XAUUSD,823,0.18379209710939068,-0.03710433466339342,5.556541272719058
dum_next_tue,XAUUSD,978,0.04635527076216458,-0.01171805254408132,1.5457940419810088
dum_next_thu,XAUUSD,988,0.029162401567040065,-0.007549906829721421,0.9364814176035283
dum_next_fri,XAUUSD,983,0.006362482823335191,-0.0018163666959874192,0.2047422812221125
dum_next_nfp,XAUUSD,38,1.1417634518252655,-0.009064877548691775,6.220043923945966
dum_next_us_morning,XAUUSD,826,0.38138969746839657,-0.0770941607228998,12.78009045856306
dum_next_opex,XAUUSD,222,-0.021904693291927475,0.0008419526536069701,-0.30072800576005443
dum_next_month_end,XAUUSD,321,-0.009501974292284249,0.00046625096986211545,-0.1638257248849907
dum_next_quarter_end,XAUUSD,89,0.016681816015449855,-0.0004940356068092996,0.15064554424496537
dum_next_holidays,XAUUSD,91,0.023506353942853404,-0.0006296417840570218,0.2246624825389426
dum_next_gap_open,XAUUSD,196,0.6638591282179472,-0.027711584108347207,8.418716071735993
dum_next_h04,US500,824,-1.1884588859623348,0.23822105165229793,-31.054627496103578
dum_next_h08,US500,824,-0.8519831590820477,0.17059763727440608,-24.69846964664829
dum_next_h12,US500,824,0.9474937839682848,-0.1910533385971729,31.617724384993547
dum_next_h16,US500,826,0.3254452416392707,-0.06622781353162033,9.720952649331245
dum_next_h20,US500,826,1.2405599258465616,-0.2506799192307961,39.85231700797318
dum_next_mon,US500,823,0.04359379749075335,-0.009378567567284196,0.9759359038165883
dum_next_tue,US500,978,0.04406969669634746,-0.011577286778400987,1.2265293145345095
dum_next_thu,US500,988,0.044012792826214744,-0.011704382512917338,1.1360711871187819
dum_next_fri,US500,983,0.009977516580773949,-0.003144305774535213,0.2734143625379861
dum_next_nfp,US500,38,0.9466617630929308,-0.007891313396658587,4.7445420123600055
dum_next_us_morning,US500,826,0.3254452416392707,-0.06622781353162033,9.720952649331245
dum_next_opex,US500,222,-0.024951785522891404,0.0006285593635770759,-0.28650594475962
dum_next_month_end,US500,321,0.020322286671255255,-0.0019785497023713703,0.302787475715137
dum_next_quarter_end,US500,89,0.007572194502500168,-0.0006737819171178896,0.06642885090773554
dum_next_holidays,US500,91,0.028795478430148503,-0.0010768050477314287,0.18195146662652123
dum_next_gap_open,US500,196,-0.32347429284313045,0.01286318763509118,-3.641280717440058
dum_next_h04,GBPUSD,824,-0.38014240265089416,0.07599027858376643,-11.849803394674579
dum_next_h08,GBPUSD,824,-0.22350471040710407,0.04450992287428275,-7.346406062373909
dum_next_h12,GBPUSD,824,1.3448680519172616,-0.27069474935871174,52.29386558893329
dum_next_h16,GBPUSD,826,0.17291028527085225,-0.03526136974734466,5.874842068475517
dum_next_h20,GBPUSD,826,0.15546088444826595,-0.03174423820038119,5.680649377334141
dum_next_mon,GBPUSD,823,0.17493786929069952,-0.03551598732434532,5.280377511013212
dum_next_tue,GBPUSD,978,0.04382176173986359,-0.011286082253543096,1.428679397058464
dum_next_thu,GBPUSD,988,0.017008241878250792,-0.004695462542328823,0.5283379353036257
dum_next_fri,GBPUSD,983,-0.006429744373731924,0.0011781885634316214,-0.18062253215880836
dum_next_nfp,GBPUSD,38,1.0536012387966753,-0.008537463091520288,5.881911584735711
dum_next_us_morning,GBPUSD,826,0.17291028527085225,-0.03526136974734466,5.874842068475517
dum_next_opex,GBPUSD,222,-0.038706769916850056,0.0014708007934168968,-0.4916226824707269
dum_next_month_end,GBPUSD,321,0.04902078214921763,-0.0037829390964139306,0.8306951536649854
dum_next_quarter_end,GBPUSD,89,0.11864951657820359,-0.002530921316722768,1.0810067042654337
dum_next_holidays,GBPUSD,91,0.02229896038950421,-0.0007668948864761736,0.21377329262464653
dum_next_gap_open,GBPUSD,196,0.16131066709344907,-0.007041896857278023,2.350018434730315
