year,horizon,config,term,coef,selected
2022,4h,poly2_stlsq_002,ewma_ret_10,0.24407290030086304,True
2022,4h,poly2_stlsq_002,ewma_ret_20,-0.10181631081200644,True
2022,4h,poly2_stlsq_002,slope_10,0.0400020538229692,True
2022,4h,poly2_stlsq_002,slope_20,-0.03717353254482217,True
2022,4h,poly2_stlsq_002,ret_1^2,0.2730525991686363,True
2022,4h,poly2_stlsq_002,ret_1 ret_2,1.031589041020119,True
2022,4h,poly2_stlsq_002,ret_1 ret_3,0.6744875737205464,True
2022,4h,poly2_stlsq_002,ret_1 ret_5,0.48924416321362885,True
2022,4h,poly2_stlsq_002,ret_1 ret_10,0.6167206024446775,True
2022,4h,poly2_stlsq_002,ret_1 ewma_ret_5,-3.9229915391083465,True
2022,4h,poly2_stlsq_002,ret_1 ewma_ret_10,1.922825732408906,True
2022,4h,poly2_stlsq_002,ret_1 ewma_ret_20,-0.9272034562993079,True
2022,4h,poly2_stlsq_002,ret_1 slope_10,0.2461215648817829,True
2022,4h,poly2_stlsq_002,ret_1 slope_20,-0.1433786902580435,True
2022,4h,poly2_stlsq_002,ret_2^2,0.647766701222283,True
2022,4h,poly2_stlsq_002,ret_2 ret_3,0.9754033603249452,True
2022,4h,poly2_stlsq_002,ret_2 ret_5,0.813133546445581,True
2022,4h,poly2_stlsq_002,ret_2 ret_10,1.1032018009709557,True
2022,4h,poly2_stlsq_002,ret_2 ewma_ret_5,-5.559726246399924,True
2022,4h,poly2_stlsq_002,ret_2 ewma_ret_10,2.2011628020416043,True
2022,4h,poly2_stlsq_002,ret_2 ewma_ret_20,-1.1974230400972583,True
2022,4h,poly2_stlsq_002,ret_2 slope_10,0.4879138115331846,True
2022,4h,poly2_stlsq_002,ret_2 slope_20,-0.18432990563998147,True
2022,4h,poly2_stlsq_002,ret_3^2,0.36390458082042,True
2022,4h,poly2_stlsq_002,ret_3 ret_5,0.43542044505905586,True
2022,4h,poly2_stlsq_002,ret_3 ret_10,0.42819630438968165,True
2022,4h,poly2_stlsq_002,ret_3 ewma_ret_5,-4.683226717592466,True
2022,4h,poly2_stlsq_002,ret_3 ewma_ret_10,3.1268180271504007,True
2022,4h,poly2_stlsq_002,ret_3 ewma_ret_20,-1.2889977169952116,True
2022,4h,poly2_stlsq_002,ret_3 slope_10,0.2750916765133957,True
2022,4h,poly2_stlsq_002,ret_3 slope_20,-0.12881510545267094,True
2022,4h,poly2_stlsq_002,ret_5^2,0.13293909889277566,True
2022,4h,poly2_stlsq_002,ret_5 ret_10,0.4571825143035295,True
2022,4h,poly2_stlsq_002,ret_5 ewma_ret_5,-3.0461000397161575,True
2022,4h,poly2_stlsq_002,ret_5 ewma_ret_10,1.9332883559891898,True
2022,4h,poly2_stlsq_002,ret_5 ewma_ret_20,-0.9125592542968295,True
2022,4h,poly2_stlsq_002,ret_5 slope_10,0.12631160630380922,True
2022,4h,poly2_stlsq_002,ret_5 slope_20,-0.15425423445876507,True
2022,4h,poly2_stlsq_002,ret_10^2,0.8982124699503182,True
2022,4h,poly2_stlsq_002,ret_10 ewma_ret_5,-2.309888993402172,True
2022,4h,poly2_stlsq_002,ret_10 ewma_ret_10,-2.3628174574121483,True
2022,4h,poly2_stlsq_002,ret_10 ewma_ret_20,0.6236357241073114,True
2022,4h,poly2_stlsq_002,ret_10 slope_10,0.6314802810075664,True
2022,4h,poly2_stlsq_002,ret_10 slope_20,0.10518614530336412,True
2022,4h,poly2_stlsq_002,ewma_ret_5^2,13.50912908308775,True
2022,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_10,-18.079980543957475,True
2022,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_20,8.012872243018256,True
2022,4h,poly2_stlsq_002,ewma_ret_5 slope_10,-1.1503428257531558,True
2022,4h,poly2_stlsq_002,ewma_ret_5 slope_20,1.1334466865370176,True
2022,4h,poly2_stlsq_002,ewma_ret_10^2,9.971440806709566,True
2022,4h,poly2_stlsq_002,ewma_ret_10 ewma_ret_20,-7.470662448639015,True
2022,4h,poly2_stlsq_002,ewma_ret_10 slope_10,-0.6818661099093399,True
2022,4h,poly2_stlsq_002,ewma_ret_10 slope_20,-0.9516013356472628,True
2022,4h,poly2_stlsq_002,ewma_ret_20^2,1.3045668337788359,True
2022,4h,poly2_stlsq_002,ewma_ret_20 slope_10,0.14727094089972192,True
2022,4h,poly2_stlsq_002,ewma_ret_20 slope_20,0.26884823949777337,True
2022,4h,poly2_stlsq_002,slope_10^2,0.10582530607713236,True
2022,4h,poly2_stlsq_002,slope_10 slope_20,0.08690907151636829,True
2022,4h,poly2_stlsq_002,slope_20^2,-0.027597662952775437,True
2023,4h,poly2_stlsq_002,1,0.0,False
2023,4h,poly2_stlsq_002,ret_1,0.0807887168462317,True
2023,4h,poly2_stlsq_002,ret_2,0.06204651574883599,True
2023,4h,poly2_stlsq_002,ret_3,-0.030920820664356335,True
2023,4h,poly2_stlsq_002,ret_5,-0.03230271519231305,True
2023,4h,poly2_stlsq_002,ret_10,0.21231143221964777,True
2023,4h,poly2_stlsq_002,ewma_ret_5,-0.2343256345719023,True
2023,4h,poly2_stlsq_002,ewma_ret_10,-0.12475634951061314,True
2023,4h,poly2_stlsq_002,ewma_ret_20,0.03210333715181374,True
2023,4h,poly2_stlsq_002,slope_10,0.11029864758443922,True
2023,4h,poly2_stlsq_002,slope_20,0.0,False
2023,4h,poly2_stlsq_002,ret_1^2,0.0,False
2023,4h,poly2_stlsq_002,ret_1 ret_2,0.5030165855297388,True
2023,4h,poly2_stlsq_002,ret_1 ret_3,0.1391982391307362,True
2023,4h,poly2_stlsq_002,ret_1 ret_5,0.15076305783627295,True
2023,4h,poly2_stlsq_002,ret_1 ret_10,0.20644256906687047,True
2023,4h,poly2_stlsq_002,ret_1 ewma_ret_5,-0.8907617972408534,True
2023,4h,poly2_stlsq_002,ret_1 ewma_ret_10,0.0,False
2023,4h,poly2_stlsq_002,ret_1 ewma_ret_20,-0.07773368878932506,True
2023,4h,poly2_stlsq_002,ret_1 slope_10,0.16414988717034545,True
2023,4h,poly2_stlsq_002,ret_1 slope_20,0.0,False
2023,4h,poly2_stlsq_002,ret_2^2,0.458273385835309,True
2023,4h,poly2_stlsq_002,ret_2 ret_3,0.4496194247886226,True
2023,4h,poly2_stlsq_002,ret_2 ret_5,0.49750576090632753,True
2023,4h,poly2_stlsq_002,ret_2 ret_10,0.7032709367447167,True
2023,4h,poly2_stlsq_002,ret_2 ewma_ret_5,-3.142075871117697,True
2023,4h,poly2_stlsq_002,ret_2 ewma_ret_10,0.6335209175753065,True
2023,4h,poly2_stlsq_002,ret_2 ewma_ret_20,-0.30982164643909044,True
2023,4h,poly2_stlsq_002,ret_2 slope_10,0.5160770190034277,True
2023,4h,poly2_stlsq_002,ret_2 slope_20,-0.056974385395858605,True
2023,4h,poly2_stlsq_002,ret_3^2,0.052319138626612235,True
2023,4h,poly2_stlsq_002,ret_3 ret_5,0.1340475055111864,True
2023,4h,poly2_stlsq_002,ret_3 ret_10,0.0,False
2023,4h,poly2_stlsq_002,ret_3 ewma_ret_5,-1.532999599535659,True
2023,4h,poly2_stlsq_002,ret_3 ewma_ret_10,1.237775191302405,True
2023,4h,poly2_stlsq_002,ret_3 ewma_ret_20,-0.4912024789132793,True
2023,4h,poly2_stlsq_002,ret_3 slope_10,0.12188861251997359,True
2023,4h,poly2_stlsq_002,ret_3 slope_20,-0.04703728351023206,True
2023,4h,poly2_stlsq_002,ret_5^2,0.09139481675931994,True
2023,4h,poly2_stlsq_002,ret_5 ret_10,0.13195771972165304,True
2023,4h,poly2_stlsq_002,ret_5 ewma_ret_5,-1.4770241771944752,True
2023,4h,poly2_stlsq_002,ret_5 ewma_ret_10,0.871897163600556,True
2023,4h,poly2_stlsq_002,ret_5 ewma_ret_20,-0.38560775391083957,True
2023,4h,poly2_stlsq_002,ret_5 slope_10,0.1687794152029377,True
2023,4h,poly2_stlsq_002,ret_5 slope_20,-0.05548982897618682,True
2023,4h,poly2_stlsq_002,ret_10^2,0.5696566839871092,True
2023,4h,poly2_stlsq_002,ret_10 ewma_ret_5,-1.1916332322818775,True
2023,4h,poly2_stlsq_002,ret_10 ewma_ret_10,-1.171891109872465,True
2023,4h,poly2_stlsq_002,ret_10 ewma_ret_20,0.16209497266260098,True
2023,4h,poly2_stlsq_002,ret_10 slope_10,0.733681962853556,True
2023,4h,poly2_stlsq_002,ret_10 slope_20,0.13286125309167765,True
2023,4h,poly2_stlsq_002,ewma_ret_5^2,4.963523276847338,True
2023,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_10,-4.502373385737949,True
2023,4h,poly2_stlsq_002,ewma_ret_5 ewma_ret_20,2.150620296593743,True
2023,4h,poly2_stlsq_002,ewma_ret_5 slope_10,-1.0371136119073028,True
2023,4h,poly2_stlsq_002,ewma_ret_5 slope_20,0.3887980934768982,True
2023,4h,poly2_stlsq_002,ewma_ret_10^2,2.9857086550252117,True
2023,4h,poly2_stlsq_002,ewma_ret_10 ewma_ret_20,-2.3744191818918354,True
2023,4h,poly2_stlsq_002,ewma_ret_10 slope_10,-0.9118121246020294,True
2023,4h,poly2_stlsq_002,ewma_ret_10 slope_20,-0.6654923282146833,True
2023,4h,poly2_stlsq_002,ewma_ret_20^2,0.49435073277821395,True
2023,4h,poly2_stlsq_002,ewma_ret_20 slope_10,0.24946870230019091,True
2023,4h,poly2_stlsq_002,ewma_ret_20 slope_20,0.2594923073454909,True
2023,4h,poly2_stlsq_002,slope_10^2,0.23084189441130937,True
2023,4h,poly2_stlsq_002,slope_10 slope_20,0.11245406112692019,True
2023,4h,poly2_stlsq_002,slope_20^2,0.0,False
2024,4h,poly2_stlsq_002,1,0.0,False
2024,4h,poly2_stlsq_002,ret_1,0.1022894795821035,True
2024,4h,poly2_stlsq_002,ret_2,0.08721457751534675,True
2024,4h,poly2_stlsq_002,ret_3,0.0,False
2024,4h,poly2_stlsq_002,ret_5,0.0,False
2024,4h,poly2_stlsq_002,ret_10,0.26702967007212086,True
2024,4h,poly2_stlsq_002,ewma_ret_5,-0.27373465444286726,True
2024,4h,poly2_stlsq_002,ewma_ret_10,-0.32676790103288555,True
2024,4h,poly2_stlsq_002,ewma_ret_20,0.122669959800566,True
2024,4h,poly2_stlsq_002,slope_10,0.15424398369112224,True
2024,4h,poly2_stlsq_002,slope_20,0.0,False
2024,4h,poly2_stlsq_002,ret_1^2,-0.08958200412577222,True
2024,4h,poly2_stlsq_002,ret_1 ret_2,0.33678983392563877,True
2024,4h,poly2_stlsq_002,ret_1 ret_3,0.0,False
2024,4h,poly2_stlsq_002,ret_1 ret_5,0.03813152294867958,True
2024,4h,poly2_stlsq_002,ret_1 ret_10,-0.22331836231913016,True
2024,4h,poly2_stlsq_002,ret_1 ewma_ret_5,-0.1281418450943986,True
2024,4h,poly2_stlsq_002,ret_1 ewma_ret_10,0.0,False
2024,4h,poly2_stlsq_002,ret_1 ewma_ret_20,0.09633709555746499,True
2024,4h,poly2_stlsq_002,ret_1 slope_10,0.0,False
2024,4h,poly2_stlsq_002,ret_1 slope_20,0.03496921954801112,True
2024,4h,poly2_stlsq_002,ret_2^2,0.3954590608058714,True
2024,4h,poly2_stlsq_002,ret_2 ret_3,0.30517761645056063,True
2024,4h,poly2_stlsq_002,ret_2 ret_5,0.42740192722745496,True
2024,4h,poly2_stlsq_002,ret_2 ret_10,0.3841620040703854,True
2024,4h,poly2_stlsq_002,ret_2 ewma_ret_5,-2.392511632499657,True
2024,4h,poly2_stlsq_002,ret_2 ewma_ret_10,0.2684851535028992,True
