rmse,mae,pearson,spearman,directional_accuracy,coef_cv,sign_consistency,mean_terms,config,horizon,folds,n,library_terms,selection_score
1.0121877896661329,0.9992805247225712,0.0059320937821929,0.0270306648093358,0.5152981013423631,0.7632511571598763,0.7063492063492064,50.16666666666666,poly2_stlsq_005,4h,6,8269,66,-0.0230893840921202
1.0003034414584877,0.8729541345502618,0.0119363688401151,0.0301134527452874,0.5000604668037247,0.7151394657206684,0.7027777777777777,46.833333333333336,poly2_stlsq_005,12h,6,8269,66,-0.0168923329340114
0.985420774476661,0.8311757127563099,0.0156959150876593,0.0188147806509384,0.5062280807836498,0.4453329510083385,0.8222222222222224,52.0,poly2_stlsq_005,24h,6,8269,66,-0.0213240318825548
1.012502759255911,1.001451269663478,-0.0077385926089129,0.0116913900455561,0.5059862135687507,1.2093446209059744,0.5493827160493827,32.0,poly2_stlsq_010,4h,6,8269,66,-0.0507312529348095
1.0005134604310888,0.8725868107140621,-0.0001035030018961,0.0142206828827031,0.5007860684484218,0.8198535331059695,0.5766666666666667,31.5,poly2_stlsq_010,12h,6,8269,66,-0.0369619333288789
0.9829532810037236,0.8293131743682163,0.0144533690595131,0.0143384702530448,0.5030838069899625,0.5442924169082517,0.7424242424242424,42.16666666666666,poly2_stlsq_010,24h,6,8269,66,-0.0266629987810822
1.1339139796518662,1.0377667898056215,-0.0058337769486755,0.0037127973048987,0.5050187447091546,1.1765863452862844,0.4613095238095239,208.5,poly3_stlsq_010,4h,6,8269,286,-0.0756811809978711
1.1842771219573465,0.9404729891630836,-0.0128306921361521,-0.0042356769217364,0.4993348651590277,1.2117943782491762,0.4750608272506083,193.5,poly3_stlsq_010,12h,6,8269,286,-0.0876577456694782
1.1611302170774274,0.910678258720054,-0.0039407799636757,-0.0137740652436364,0.4996976659813762,1.18913067876387,0.4904076738609112,193.33333333333331,poly3_stlsq_010,24h,6,8269,286,-0.0922530511794379
1.000889652042244,0.9984140299678376,0.022623336819925,0.0044911695519088,0.508404885717741,1.132051461734788,0.3777777777777778,7.666666666666667,fourier1_stlsq_005,4h,6,8269,20,-0.027592545194584
0.9891122343958576,0.8678026235038033,0.0210924022319966,0.0193493888288689,0.5013907364856693,1.193131616681203,0.5138888888888888,6.5,fourier1_stlsq_005,12h,6,8269,20,-0.0139769989456125
0.9737125178310714,0.8248633992098917,-0.026626210577071,-0.0242868900702727,0.4886927077034708,1.4373994225223374,0.4027777777777777,4.833333333333333,fourier1_stlsq_005,24h,6,8269,20,-0.0851145989615215
1.0205289881221749,1.000167548056502,0.0185751726104966,0.0178223851272778,0.5151771677349135,1.0819982167334552,0.546474358974359,75.5,custom_poly2_stlsq_005,4h,6,8269,120,-0.0363851835369764
1.0152304291103145,0.8791777573390539,0.0007585704468657,0.0209073976765272,0.5001814004111743,1.3969639447133146,0.478723404255319,58.0,custom_poly2_stlsq_005,12h,6,8269,120,-0.0474098303922459
1.0037843343661266,0.8415529799821411,-0.0056396827419553,-0.0008202455750016,0.4967952594025879,1.1768211518155005,0.5303030303030303,65.5,custom_poly2_stlsq_005,24h,6,8269,120,-0.0694690035186486
1.342334552950053,1.1115321877771034,-0.014916382902514,-0.042984567039023,0.4935300520014512,0.8185921653712384,0.6666666666666667,42.333333333333336,poly2_sr3_lam001,4h,6,8269,66,-0.1051508182154344
1.2265133670513646,0.96078026979393,-0.0271906900930781,-0.0363021996611481,0.4907485790301125,0.5692686415512747,0.7115384615384616,38.66666666666666,poly2_sr3_lam001,12h,6,8269,66,-0.0990131716801356
1.2515120028438622,0.9534394752594638,-0.0099013881790895,-0.0139660152419617,0.4948603216833958,0.4156231459493322,0.7787878787878787,44.5,poly2_sr3_lam001,24h,6,8269,66,-0.0659202633417226
